Comment,Designator,Footprint,LCSC
PEC11R-4220F-S0012,SW13,SW-TH_PEC11R-4220F-S0012,C143817
1K,"R5,R6,R7",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513
RDC1022A05,"R1,R3",RES-ADJ-TH_RDC1022A05,C202389
RK09K1130A6S,R2,RES-TH_RK09K1130A6S,C209770
XL-3528RGBW-WS2812B,"LED1,LED10,LED11,LED12,LED13,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9",LED-SMD_4P-L3.5-W2.8-BR-1,C2890364
D,D1,D_SOD-123F,C64898
Kaihua PG1350,SW12,Kaihua_PG1350,
Kaihua PG1350,SW11,Kaihua_PG1350,
Kaihua PG1350,SW10,Kaihua_PG1350,
Kaihua PG1350,SW9,Kaihua_PG1350,
Kaihua PG1350,SW8,Kaihua_PG1350,
Kaihua PG1350,SW7,Kaihua_PG1350,
Kaihua PG1350,SW6,Kaihua_PG1350,
Kaihua PG1350,SW5,Kaihua_PG1350,
Kaihua PG1350,SW4,Kaihua_PG1350,
Kaihua PG1350,SW3,Kaihua_PG1350,
Kaihua PG1350,SW1,Kaihua_PG1350,
Kaihua PG1350,SW2,Kaihua_PG1350,
SSD1306,U2,SSD1306_38x12,
RaspberryPi_Pico,U1,RaspberryPi_Pico_SMD_TH,
